iter	Passed	Remaining
664	7758	3908
665	7768	3896
666	7780	3884
667	7790	3871
668	7800	3859
669	7811	3847
670	7821	3835
671	7832	3823
672	7842	3810
673	7853	3798
674	7864	3786
675	7875	3774
676	7885	3762
677	7896	3750
678	7907	3738
679	7919	3726
680	7929	3714
681	7940	3702
682	7950	3690
683	7961	3678
684	7971	3665
685	7982	3653
686	7992	3641
687	8003	3629
688	8014	3617
689	8024	3605
690	8034	3593
691	8045	3581
692	8055	3568
693	8065	3556
694	8076	3544
695	8086	3532
696	8097	3519
697	8108	3508
698	8119	3496
699	8129	3484
700	8140	3472
701	8151	3460
702	8162	3448
703	8174	3436
704	8184	3424
705	8195	3412
706	8206	3400
707	8217	3389
708	8228	3377
709	8238	3365
710	8248	3352
711	8259	3340
712	8269	3328
713	8279	3316
714	8290	3304
715	8301	3292
716	8312	3280
717	8324	3269
718	8334	3257
719	8344	3245
720	8355	3233
721	8366	3221
722	8376	3209
723	8386	3197
724	8397	3185
725	8407	3173
726	8417	3160
727	8427	3148
728	8438	3137
729	8448	3124
730	8458	3112
731	8469	3100
732	8479	3088
733	8489	3076
734	8499	3064
735	8509	3052
736	8520	3040
737	8531	3028
738	8541	3016
739	8552	3004
740	8563	2993
741	8574	2981
742	8584	2969
743	8595	2957
744	8605	2945
745	8616	2933
746	8627	2921
747	8637	2909
748	8647	2898
749	8657	2885
750	8668	2874
751	8678	2861
752	8688	2850
753	8698	2838
754	8708	2825
755	8719	2814
756	8729	2802
757	8739	2790
758	8750	2778
759	8761	2766
760	8771	2754
761	8782	2742
762	8792	2731
763	8803	2719
764	8813	2707
765	8823	2695
766	8833	2683
767	8843	2671
768	8855	2659
769	8865	2648
770	8875	2636
771	8885	2624
772	8896	2612
773	8907	2601
774	8918	2589
775	8928	2577
776	8939	2565
777	8949	2553
778	8960	2542
779	8970	2530
780	8981	2518
781	8991	2506
782	9002	2494
783	9013	2483
784	9023	2471
785	9033	2459
786	9044	2447
787	9055	2436
788	9066	2424
789	9076	2412
790	9086	2400
791	9097	2389
792	9108	2377
793	9120	2366
794	9132	2354
795	9145	2343
796	9160	2333
797	9171	2321
798	9184	2310
799	9196	2299
800	9210	2288
801	9223	2277
802	9236	2265
803	9249	2254
804	9262	2243
805	9275	2232
806	9287	2221
807	9301	2210
808	9315	2199
809	9327	2188
810	9342	2177
811	9354	2165
812	9367	2154
813	9379	2143
814	9391	2131
815	9405	2120
816	9418	2109
817	9430	2098
818	9443	2086
819	9456	2075
820	9468	2064
821	9479	2052
822	9490	2041
823	9501	2029
824	9511	2017
825	9521	2005
826	9531	1993
827	9542	1982
828	9552	1970
829	9562	1958
830	9572	1946
831	9583	1935
832	9593	1923
833	9603	1911
834	9614	1899
835	9624	1888
836	9635	1876
837	9645	1864
838	9656	1853
839	9667	1841
840	9677	1829
841	9688	1817
842	9698	1806
843	9709	1794
844	9720	1783
845	9731	1771
846	9741	1759
847	9752	1748
848	9763	1736
849	9773	1724
850	9784	1713
851	9795	1701
852	9805	1689
853	9815	1678
854	9826	1666
855	9836	1654
856	9847	1643
857	9857	1631
858	9867	1619
859	9877	1608
860	9888	1596
861	9900	1584
862	9911	1573
863	9924	1562
864	9937	1550
865	9957	1540
866	9982	1531
867	9994	1519
868	10008	1508
869	10021	1497
870	10034	1486
871	10049	1475
872	10061	1463
873	10075	1452
874	10089	1441
875	10104	1430
876	10119	1419
877	10133	1408
878	10146	1396
879	10160	1385
880	10175	1374
881	10188	1363
882	10201	1351
883	10215	1340
884	10227	1329
885	10240	1317
886	10251	1306
887	10265	1294
888	10279	1283
889	10292	1272
890	10304	1260
891	10316	1249
892	10328	1237
893	10340	1226
894	10351	1214
895	10362	1202
896	10375	1191
897	10387	1179
898	10399	1168
899	10412	1156
900	10424	1145
901	10435	1133
902	10447	1122
903	10457	1110
904	10468	1098
905	10481	1087
906	10494	1076
907	10508	1064
908	10523	1053
909	10536	1042
910	10549	1030
911	10561	1019
912	10575	1007
913	10589	996
914	10603	985
915	10616	973
916	10630	962
917	10644	950
918	10658	939
919	10672	928
920	10686	916
921	10697	905
922	10712	893
923	10725	882
924	10739	870
925	10753	859
926	10767	847
927	10780	836
928	10793	824
929	10806	813
930	10820	801
931	10834	790
932	10848	779
933	10860	767
934	10873	755
935	10886	744
936	10900	732
937	10912	721
938	10925	709
939	10940	698
940	10953	686
941	10967	675
942	10980	663
943	10993	652
944	11006	640
945	11020	629
946	11034	617
947	11048	606
948	11061	594
949	11072	582
950	11086	571
951	11100	559
952	11114	548
953	11126	536
954	11140	524
955	11153	513
956	11168	501
957	11182	490
958	11197	478
959	11210	467
960	11222	455
961	11235	443
962	11250	432
963	11261	420
964	11272	408
965	11283	397
966	11295	385
967	11306	373
968	11319	362
969	11331	350
970	11345	338
971	11359	327
972	11372	315
973	11385	303
974	11400	292
975	11413	280
976	11425	268
977	11439	257
978	11452	245
979	11466	234
980	11480	222
981	11493	210
982	11505	198
983	11518	187
984	11531	175
985	11545	163
986	11560	152
987	11573	140
988	11585	128
989	11598	117
990	11612	105
991	11627	93
992	11640	82
993	11653	70
994	11665	58
995	11678	46
996	11692	35
997	11704	23
998	11716	11
999	11728	0
