Ia,Ib,Ic,Va,Vb,Vc,F,A,B,C,G,L,Rf
-0.66714855753354,0.19088648095929,0.476262076574207,-0.752627970216393,-0.0892695391028841,0.841897509319242,0,0,0,0,0,1,0.01
-0.583581824953003,-0.0224532545487593,0.606035079501729,-0.549661249340809,-0.369381333781682,0.919042583122511,0,0,0,0,0,1,0.01
-0.442890037208194,-0.233595109160844,0.676485146369017,-0.292889855662231,-0.613335509878551,0.906225365540862,1,1,0,0,1,1,0.01
-0.562427927164681,-0.430076772032865,0.672510692093315,-0.0741083154348646,-0.820566905569605,0.781375250575814,1,1,0,0,1,1,0.01
-0.0900695649100246,-0.560428161921623,0.626737076757747,0.0871771094303774,-0.934434480302743,0.593102082266583,1,1,0,0,1,1,0.01
0.883523873790824,-0.634787278162647,0.520747556684481,0.179713956382147,-0.913857928186384,0.389726402342255,1,1,0,0,1,1,0.01
2.21721628070484,-0.646545511228936,0.364247791545618,0.252738167380637,-0.857434039886603,0.0946107832454469,1,1,0,0,1,1,0.01
3.740199970564,-0.60047149508162,0.166636560965633,0.293606437808624,-0.688341748891638,-0.181040210659722,1,1,0,0,1,1,0.01
5.2647879958911,-0.498645976215825,-0.0503131671641148,0.309329113083225,-0.463922784614116,-0.451023264538335,1,1,0,0,1,1,0.01
6.60828576646657,-0.353564415690746,-0.267892726865452,0.295313652358148,-0.194559444648252,-0.677320268469206,1,1,0,0,1,1,0.01
7.60695604366042,-0.17538451137661,-0.460760106277881,0.253776779276899,0.0937527523847377,-0.83741413616427,1,1,0,0,1,1,0.01
8.13558899611231,0.0163580502605743,-0.612130280030336,0.188988480729861,0.376195248923166,-0.912228821961453,1,1,0,0,1,1,0.01
8.11638766922017,0.205201555737821,-0.704878696661578,0.10503484157106,0.623394926546009,-0.896165928352373,1,1,0,0,1,1,0.01
7.52846730701036,0.371958729017671,-0.730628446921628,0.0133728424343588,0.805573494110258,-0.796379102052911,1,1,0,0,1,1,0.01
6.40820401495419,0.501648543858078,-0.685516641079683,-0.079852564733049,0.910993444217434,-0.616540663217147,1,1,0,0,1,1,0.01
4.84653602742128,0.581300131916812,-0.574235063067944,-0.164056363286015,0.924843232428934,-0.378746648638923,1,1,0,0,1,1,0.01
2.97917871229982,0.603566585053751,-0.407226783197041,-0.23234114604203,0.85129083164642,-0.100750379600292,1,1,0,0,1,1,0.01
0.973483900401797,0.566391606843532,-0.200716436610151,-0.276686878392951,0.691932645417269,0.184632534009661,1,1,0,0,1,1,0.01
-0.988181551304354,0.473513102910042,0.0251802644867968,-0.293928507328569,0.466306358090702,0.453405415888355,1,1,0,0,1,1,0.01
-2.72647640913553,0.334248310410933,0.248576619468952,-0.281629199301386,0.193964071468734,0.676725132665328,1,1,0,0,1,1,0.01
-4.08262570433698,0.162111141206846,0.447486740232191,-0.241623635398022,-0.0965729009163008,0.834594147443681,1,1,0,0,1,1,0.01
-4.93428421153913,-0.0258027031215206,0.602685634329889,-0.177392904570252,-0.378286241230558,0.910137675500814,1,1,0,0,1,1,0.01
-5.20739772185069,-0.2112383830914,0.698841875830686,-0.0955144843041228,-0.622652253413386,0.896908621774332,1,1,0,0,1,1,0.01
